1,274534
2,144781
3,58879
4,22294
5,8654
6,3642
7,1603
8,736
9,390
10,205
11,108
12,67
13,53
15,31
14,27
18,15
16,14
17,9
20,7
19,5
22,4
31,3
21,2
25,2
23,1
26,1
27,1
28,1
35,1
47,1
